stt,Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1,Il trittico dell'amore,1920,,,,,,,https://www.imdb.com/title/tt0925301/?ref_=sr_i_1
2,The Cabinet of Dr. Caligari,1920,1h 7m,Not Rated,8.0,73K,,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",https://www.imdb.com/title/tt0010323/?ref_=sr_i_2
3,The Golem,1920,1h 31m,Unrated,7.2,9K,,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",https://www.imdb.com/title/tt0011237/?ref_=sr_i_3
4,Dr. Jekyll and Mr. Hyde,1920,1h 9m,Unrated,6.9,6.3K,,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",https://www.imdb.com/title/tt0011130/?ref_=sr_i_4
5,Way Down East,1920,2h 25m,Passed,7.3,6.1K,,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",https://www.imdb.com/title/tt0011841/?ref_=sr_i_5
6,The Penalty,1920,1h 30m,Passed,7.3,2.8K,,A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.,https://www.imdb.com/title/tt0011565/?ref_=sr_i_6
7,Why Change Your Wife?,1920,1h 30m,Approved,6.7,1.5K,,"Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort.",https://www.imdb.com/title/tt0011865/?ref_=sr_i_7
8,The Flapper,1920,1h 28m,,6.4,459,,"Ginger grows up in a slow town. Because of her wild attitude, her father decides to send her to a strict boarding school. Despite the strictness, the girls have fun getting into flapper lifestyle trouble including flirting.",https://www.imdb.com/title/tt0011193/?ref_=sr_i_8
9,The Saphead,1920,1h 17m,Not Rated,6.1,1.8K,,The simple-minded son of a rich financier must find his own way in the world.,https://www.imdb.com/title/tt0011652/?ref_=sr_i_9
10,Pollyanna,1920,58m,TV-G,6.4,541,,An orphan's optimistic outlook brings a change to the ill-tempered town in which she resides to her aunt.,https://www.imdb.com/title/tt0011588/?ref_=sr_i_10
11,Within Our Gates,1920,1h 19m,Not Rated,6.4,3.8K,,"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",https://www.imdb.com/title/tt0011870/?ref_=sr_i_11
12,Erotikon,1920,1h 46m,Not Rated,6.4,1.1K,,"EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920: Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be in love with Preben, her husband's best friend. Meanwhile, her husband seems to be getting unusually close with his own niece. Stiller obviously delights in teasing his audience with each scandalous plot twist and every salacious leer, and the result is a deliciously subversive comedy that was very much ahead of its time.",https://www.imdb.com/title/tt0011157/?ref_=sr_i_12
13,Genuine: The Tragedy of a Vampire,1920,1h 28m,,5.9,1.2K,,"Genuine is an ancient and cruel divinity, who seduces men and induce them to kill as a proof of love.",https://www.imdb.com/title/tt0011221/?ref_=sr_i_13
14,From Morning to Midnight,1920,1h 5m,,6.9,663,,"A Cashier in a bank in a small German town is alerted to the power of money by the visit of a rich Italian lady. He embezzles 60, 000 Marks and leaves for the capital city, where he attempts to find satisfaction in politics, sport, love and religion.",https://www.imdb.com/title/tt0011833/?ref_=sr_i_14
15,Outside the Law,1920,1h 15m,Passed,6.5,794,,"In this early collaboration with director Tod Browning (Dracula, Freaks), Chaney delivers a dual performance of dramatic intensity, starring as Ah Wing, a kind-hearted student of Confucian philosophy, and Black Mike Sylva, a murderous rake of the San Francisco underworld.",https://www.imdb.com/title/tt0012538/?ref_=sr_i_15
16,The Mark of Zorro,1920,1h 19m,Passed,7.0,2.9K,,"A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.",https://www.imdb.com/title/tt0011439/?ref_=sr_i_16
17,The Parson's Widow,1920,1h 34m,TV-14,7.1,1.6K,,"A newly elected village parson is required to marry the previous parson's widow. However he's already married, and the woman is old enough to be his grandmother.",https://www.imdb.com/title/tt0011607/?ref_=sr_i_17
18,Just Pals,1920,50m,Not Rated,6.5,537,,Small-town tramp befriends runaway boy.,https://www.imdb.com/title/tt0011358/?ref_=sr_i_18
19,Kohlhiesel's Daughters,1920,1h 4m,,6.5,500,,"In Southern Bavaria, Xaver wants to marry Gretel, but her father Kohlhiesel insists his elder daughter Liesel marry first. Liesel is shunned as too brutal. Seppel suggests marrying Liesel first, ridding her, then wedding Gretel.",https://www.imdb.com/title/tt0011371/?ref_=sr_i_19
20,The Life of the Party,1920,50m,,6.2,187,,An attractive young woman thrusts an attorney into wild adventures.,https://www.imdb.com/title/tt0011401/?ref_=sr_i_20
21,The Symbol of the Unconquered,1920,54m,TV-PG,5.8,596,,"Racists learn that the land a negro owns lies over a vast oil field, and threaten his life when he refuses to sell.",https://www.imdb.com/title/tt0139632/?ref_=sr_i_21
22,The Round-up,1920,1h 10m,,6.1,232,,An overweight sheriff does his best to assist a man accused of theft.,https://www.imdb.com/title/tt0011647/?ref_=sr_i_22
23,The Mollycoddle,1920,1h 26m,Not Rated,6.6,225,,An American who has lived much of his life outside the country returns to Arizona for the first time in years and encounters villainy.,https://www.imdb.com/title/tt0011474/?ref_=sr_i_23
24,Leaves From Satan's Book,1920,2h 47m,TV-14,6.6,1.4K,,"In 4 episodic tales of human suffering: the temptation of Jesus, the Spanish Inquisition, the French Revolution and the Russo-Finnish war of 1918, Satan attempts to win God's favor.",https://www.imdb.com/title/tt0011000/?ref_=sr_i_24
25,The Head of Janus,1920,1h 47m,,7.3,176,,Two opposing characters are hidden in the person of the inconspicuous London gentleman Dr. Warren and Janus.,https://www.imdb.com/title/tt0011348/?ref_=sr_i_25
26,Algol: Tragedy of Power,1920,1h 39m,,6.4,312,,An alien from the planet Algol gives a man a device that gives him superpowers.,https://www.imdb.com/title/tt0010953/?ref_=sr_i_26
27,Huckleberry Finn,1920,1h 10m,,6.5,123,,"Huckleberry Finn, a rebellious boy, escapes his humdrum world with slave Jim, forming a bond that leads to thrilling adventures and harrowing events.",https://www.imdb.com/title/tt0011313/?ref_=sr_i_27
28,Sumurun,1920,1h 25m,Not Rated,6.0,861,,"The favorite slave girl of a tyrannical sheik falls in love with a cloth merchant. Meanwhile, a hunchback clown suffers unrequited love for a traveling dancer who wants to join the harem.",https://www.imdb.com/title/tt0011742/?ref_=sr_i_28
29,The Son of Tarzan,1920,4h 8m,,5.3,147,,"Tarzan's son, Jack, escapes captivity and retreats into the jungle with an ape, where he finds love in unexpected places.",https://www.imdb.com/title/tt0011717/?ref_=sr_i_29
30,Headin' Home,1920,1h 11m,Not Rated,5.2,340,,"The ""true story"" of baseball great Babe Ruth; Ruth plays himself.",https://www.imdb.com/title/tt0011267/?ref_=sr_i_30
31,Sex,1920,1h 27m,Not Rated,5.7,356,,A broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.,https://www.imdb.com/title/tt0011679/?ref_=sr_i_31
32,Daredevil Jack,1920,5h 30m,Passed,6.7,45,,"Jack Derry accidentally becomes involved in a mystery surrounding Glory Billings, when fate makes him her rescuer in a kidnapping episode.",https://www.imdb.com/title/tt0011093/?ref_=sr_i_32
33,The Love Flower,1920,1h 35m,Not Rated,6.1,200,,"A man murders his wife's lovers, escapes with his daughter to the South Pacific. A detective pursues him, joined by a young man who eventually falls in love with the daughter.",https://www.imdb.com/title/tt0011415/?ref_=sr_i_33
34,Nomads of the North,1920,1h 49m,,5.8,309,,A Canadian Mountie allows an innocent fugitive to escape with the women he loves.,https://www.imdb.com/title/tt0011513/?ref_=sr_i_34
35,The Revenge of Tarzan,1920,1h 30m,,5.5,72,,Tarzan and Jane are sailing for France in answer to a call for help from Countess de Coude who is being persecuted by her brother Rokoff.,https://www.imdb.com/title/tt0011624/?ref_=sr_i_35
36,The Restless Sex,1920,1h 25m,,5.8,202,,A young woman is torn between two men: her childhood sweetheart and a handsome art student.,https://www.imdb.com/title/tt0011623/?ref_=sr_i_36
37,Terror Island,1920,55m,Not Rated,5.4,266,,"An inventor travels to the South Seas, where there is buried treasure belonging to a girl. The girl's father is being held captive by cannibals until she returns a pearl that belongs to one of their idols.",https://www.imdb.com/title/tt0011753/?ref_=sr_i_37
38,Nurse Marjorie,1920,1h 28m,Approved,6.5,92,,"Lady Marjorie Donegal becomes a nurse in hospital, much to the dismay of her aristocratic family. She falls in love with one of her patients, a commoner labor leader.",https://www.imdb.com/title/tt0011522/?ref_=sr_i_38
39,The Idol Dancer,1920,1h 32m,,5.1,155,,"A religious zealot and his nephew are thrown together on a South Seas Island with an alcoholic beach comber and a native dancer. A battle to see who will ""civilize"" whom ensues.",https://www.imdb.com/title/tt0011324/?ref_=sr_i_39
40,Treasure Island,1920,1h 16m,,7.1,63,,"Young Jim Hawkins is caught up with the pirate Long John Silver in search of the buried treasure of the buccaneer Captain Flint, in this adaptation of the classic novel by Robert Louis Stevenson.",https://www.imdb.com/title/tt0011785/?ref_=sr_i_40
41,Man of the Sea,1920,1h 26m,,6.8,294,,"Nolff, a tough Breton fisherman is happy: his wife has just given birth to a son, Michel. His only wish is to make him a fisherman like him. But when he becomes a man, Michel becomes a good-for-nothing who spends his time in taverns with his evil genius friend Gwenn la Taupe. The sea will be his judge.",https://www.imdb.com/title/tt0011302/?ref_=sr_i_41
42,Build Thy House,1920,50m,,5.8,24,,"A Padre, acting for a dying soldier, poses as the heir to a slum property and becomes a Labour MP.",https://www.imdb.com/title/tt0174524/?ref_=sr_i_42
43,Humoresque,1920,1h,,6.2,244,,"The matriarch of a poor Jewish family nurtures her talented son's dream of being a great violinist, but as an adult, global events call for him to postpone his dream.",https://www.imdb.com/title/tt0011317/?ref_=sr_i_43
44,The Devil's Passkey,1920,2h 10m,,5.4,39,,"The wife of an American playwright in Paris becomes ensnared in the seductive wiles of an American Army officer, but her devotion to her husband convinces the officer to try to extricate her from the gossip and scandal that have ensued.",https://www.imdb.com/title/tt0011114/?ref_=sr_i_44
45,Romeo and Juliet in the Snow,1920,45m,,6.3,260,,"Comical variation on the Shakespeare play, featuring two feuding farmers families.",https://www.imdb.com/title/tt0011641/?ref_=sr_i_45
46,The Toll Gate,1920,1h 13m,Passed,6.3,273,,"After being betrayed to the law by one of his henchmen, a bandit leader seeks to avenge himself.",https://www.imdb.com/title/tt0011779/?ref_=sr_i_46
47,Unseen Forces,1920,1h 5m,Passed,5.9,52,,"As children, Clyde meets Miriam, and seem to fall in love, but when they get older, a misunderstanding prevents their marrying, and he instead takes Winifred, a social climber, resulting in a loveless union. Miriam has a mysterious second sight and can see the conniving Henry that is pursuing her, has deceived a woman terribly in the past, the woman being Winfred.",https://www.imdb.com/title/tt0157139/?ref_=sr_i_47
48,The Spiders - Episode 2: The Diamond Ship,1920,1h 44m,,6.1,1.2K,,"Kay Hoog wants to stop the organisation ""Die Spinnen"" to get a certain diamond, that will give the owning woman the crown of Asia, but the man, who should be the owner of that diamond, doesn't know of its existence....",https://www.imdb.com/title/tt0011723/?ref_=sr_i_48
49,Down on the Farm,1920,50m,Not Rated,6.3,161,,"The day starts off as any normal day on Roach's farm, where Teddy, the farmhouse dog, is doing more productive work than everyone else combined. But the day changes when Roach's farmhand sees an opportunity to be the knight in shining armor to Louise, Roach's daughter, who he wants to marry. Roach, however will not have his daughter marry a lowly farmhand, although Louise loves the farmhand. It's also rent day, and their landlord - the mortgage holder of the farm - is making his rounds to collect the moneys. He uses his position of power to garner sexual favors from women in return for non-eviction. Having never met Louise, the landlord immediately falls in love with her, who he too wants to marry. Louise hatches a plan to throw off the landlord's unwanted advances. That plan has unintended consequences. Add to the mix Louise's fear of mice, the landlord intercepting an important letter to Roach, a collar salesman and his missing infant son, and it becomes unclear who Roach will allow marry his daughter and if she will get married at all.",https://www.imdb.com/title/tt0011128/?ref_=sr_i_49
50,A Manhattan Knight,1920,50m,Passed,6.0,22,,"John Fenton visits a fortune-teller to gain insight into his parentage. While there, a police raid occurs, and he climbs the fire escape to the apartment above. There he finds a girl standing over the body of a young man who has just shot himself. The girl, Belle Charmion, explains that her half brother, Gordon Brewster, had stolen some jewels from their uncle and, fearing that the police would capture him, had attempted suicide. Fenton conceals the brother in another room and impersonates him when the police arrive. Later, he and Belle take Brewster to his uncle's home. In the excitement, the jewels have been forgotten, and Fenton returns to search for them. By this time, the family butler, who is a member of an underworld gang, has tipped off his friends, who then steal the Fenton jewels. At the butler's home, a scuffle ensues; Fenton recovers the jewels and learns that he is actually a distant relative of the Charmions, having been kidnapped in infancy by a crook. With both mysteries thus resolved, Belle and Fenton become engaged.",https://www.imdb.com/title/tt0011435/?ref_=sr_i_50
51,The Fatal Hour,1920,1h,,,,,"When the Marquis of Deerminister dies, his nephew Nigel Villiers inherits the title, but Jim Callender, Nigel's enemy, decides to deprive him of the position. Among Callender's acquaintances is Lord Dolly, an uncle of Nigel, who schemes with Callender to prove that Nigel's father married his mother before the death of his first wife, thereby invalidating Nigel's title, which would then descend to Lord Dolly. Also as part of his revenge, Callender plots to blackmail Dudley Gore, brother of Nigel's sweetheart Dorothy, into stealing the crown jewels. To prove his ancestry, Nigel journeys to the monastery in Switzerland that contains his family records. Once there, he meets Callender, who has already purloined the documents. Dorothy arrives soon after and attempts to detain Callender while Nigel wrestles the papers from him. Callender falls to his death, and the papers and the jewels are returned to their rightful heirs.",https://www.imdb.com/title/tt0194866/?ref_=sr_i_51
52,Something New,1920,57m,Unrated,5.7,375,,"A young woman visiting Mexico is kidnapped by a gang of bandits who drag her through the rugged wilderness to their hideout. She manages to leave word for her friend Bill, who knows the country well. But when Bill cannot find a horse, his only available form of transportation is his roadster. Nevertheless, he is determined to come to her rescue, even if it means trying to drive the car across miles of rocky, broken terrain.",https://www.imdb.com/title/tt0197903/?ref_=sr_i_52
53,El Verdugo,1920,,,,,,"Depicts the near total destruction of a proud small town Spanish family. Set during the time of Napoleon's occupation of Spain, during the Penisular war 1807-1814 with France on one side and England and Spain on the other.",https://www.imdb.com/title/tt0446120/?ref_=sr_i_53
54,The Wandering Image,1920,1h 7m,Not Rated,5.9,647,,"Mia May has surrendered herself to a disciple of free love, and, having given birth to a child, marries the twin brother and Doppelgänger of her chosen lover.",https://www.imdb.com/title/tt0011837/?ref_=sr_i_54
55,The Deadlier Sex,1920,1h,,6.8,37,,"Mary Willard takes over her father's railroad after his death. Her major competitor is a ruthless crook named Harvey Judson. She arranges for Judson to be kidnapped and taken to an isolated spot deep in the forest and turned loose to fend for himself. She accompanies the kidnappers to the wild and Judson, not knowing who she is, begins to fall in love with her. Complications ensue.",https://www.imdb.com/title/tt0010058/?ref_=sr_i_55
56,Stolen Moments,1920,1h,TV-G,5.0,236,,A novelist blackmails his now married ex-girlfriend into having an affair with him.,https://www.imdb.com/title/tt0197917/?ref_=sr_i_56
57,The Deep Purple,1920,1h,,4.0,18,,"Two con men, Pop Clark and Harry Leland, take rooms in a small town boardinghouse, where Leland makes love to Doris Moore, a young woman restless to leave her village. Leland convinces Doris to follow the con men to New York City, where she stays in a boardinghouse run by Kate Fallon, a woman with a disreputable past who poses as Leland's aunt. Clark and Leland plan to use Doris to lure young engineer William Lake into a compromising situation, but Kate, who has befriended Doris, tells Lake of the con men's plan, and Lake removes Doris from the clutches of Clark and Leland. Meanwhile, Laylock, a reformed crook and a friend of Kate's, is freed from jail, where he was placed through the contrivance of Clark and Leland, and kills Leland in a pistol duel. Lake persuades his friend, Inspector Bruce, that Leland has committed suicide, and Laylock goes free. Finally, Doris and Lake become engaged.",https://www.imdb.com/title/tt0011102/?ref_=sr_i_57
58,The Man Who Had Everything,1920,50m,,6.4,49,,"Harry Bullway is a careless young man, always after a good time. He nearly runs over a blind beggar with his car, but he shows no remorse. In response to his heartlessness, the beggar curses him, saying, ""May you always have everything that you want.""",https://www.imdb.com/title/tt0012439/?ref_=sr_i_58
59,Something to Think About,1920,1h 18m,,5.7,673,,"Wealthy cripple Markley finances the education of blacksmith's daughter Ruth. When she returns to their small town he asks to marry her, but she runs off with city worker Jim Dirk who is then killed in a subway accident. Markley offers to marry her in name only to protect her new son.",https://www.imdb.com/title/tt0011716/?ref_=sr_i_59
60,The Soul of Youth,1920,1h,,7.0,163,,"The story of an orphan boy who, due to the cruelty of others, is drawn into a life of sin on the streets prior to the redemption of a caring foster family.",https://www.imdb.com/title/tt0011721/?ref_=sr_i_60
61,The Dark Mirror,1920,50m,,5.7,35,,"Priscilla Maine, a wealthy young woman, is plagued by visions of menacing people and strange adventures, which she confides to Dr. Philip Fosdick, a young physician. Later, while reading a newspaper account of a crime, Philip recognizes the people from Priscilla's dreams and investigates. He discovers that Priscilla has a twin sister named Nora O'Moore, who has just escaped from the clutches of gang leader Red Carnahan. The criminal stalks Nora and takes revenge by drowning her in a lake. Priscilla has a vision that draws her to the lake, where she finds Carnahan. The gang leader, terrified by Priscilla's resemblance to his victim, is driven by fear to drown himself. Priscilla faints and is nursed back to health by Philip. They then discover that Priscilla's father had married a gypsy who gave birth to twin daughters, then ran off with Nora while Priscilla remained with her father. With the mystery solved, Philip and Priscilla marry.",https://www.imdb.com/title/tt0011094/?ref_=sr_i_61
62,Remodeling Her Husband,1920,50m,,6.9,74,,"After she marries Jack Valentine, Janie Wakefield ( Dorothy Gish ) discovers that her husband's reputation as a flirt is well deserved when she sees him riding in a taxi with a strange woman. Janie hesitates to believe that the man was Jack until he falls victim to the wiles of a fascinating widow who lives across the hall. After a tempestuous scene, Janie decides to forgive him until she overhears Jack making a date with a manicurist. The irate Janie returns to her father and, accepting a position in his Wall Street firm, becomes a successful businesswoman. Jack begs her to return, but only after he threatens suicide does Janie decide that her husband has been remodel-led.",https://www.imdb.com/title/tt0011619/?ref_=sr_i_62
