link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt27417996/,['Miku'],[],"['Yoshitsugu Matsuoka', 'Lee George', 'Akari Kitô']",,,,,04 Apr 2023,['Japan'],,[],N/A,"['Animation', 'Action', 'Adventure']","['Japanese', 'English', 'German', 'Spanish', 'French']"
https://www.imdb.com/title/tt3575844/,['Matthias Assunção'],"['Matthias Assunção', 'Mestre Cobra Mansa', 'Richard Pakleppa']","['Mestre Cobra Mansa', 'Cinézio Peçanha']",,,,,N/A,"['United Kingdom', 'South Africa', 'Brazil', 'Angola', 'Namibia']",,[],1 win & 1 nomination,"['Documentary', 'Biography', 'History']",['Portuguese']
https://www.imdb.com/title/tt4045450/,"['Sam Lansky', 'Jennifer Kaytin Robinson', 'Leah McKendrick']",['Jennifer Kaytin Robinson'],"['Madelyn Cline', 'Chase Sui Wonders', 'Jonah Hauer-King']",,,,,18 Jul 2025,"['Canada', 'Australia', 'United States']",,[],N/A,['Horror'],['English']
https://www.imdb.com/title/tt13064520/,[],[],['Magnus Magnusson'],,,,,27 Sep 1974,['UK'],,[],N/A,['History'],['English']
https://www.imdb.com/title/tt1728197/,[],['Kyoung-Rock Ham'],"['Lee Ho-Cheol', 'Seok-yeon Hong', 'Ji-Won Park']",,,,,18 Sep 2010,['South Korea'],,[],N/A,[],['Korean']
https://www.imdb.com/title/tt5907158/,[],['Andrew Thompson'],"['Robert Lindsay', 'Quentin Blake', 'Winston Churchill']",,,,,23 Jul 2016,['United Kingdom'],,[],1 win,['Documentary'],['English']
https://www.imdb.com/title/tt6341826/,['Colby Day'],['Andrew Stanton'],"['Kate McKinnon', 'Rashida Jones', 'Daveed Diggs']",,,,,27 Feb 2026,['United States'],,[],1 win total,"['Drama', 'Sci-Fi']",['English']
https://www.imdb.com/title/tt0856797/,"['Shirow Masamune', 'Kenji Kamiyama', 'Shotaro Suga']",['Kenji Kamiyama'],"['Atsuko Tanaka', 'Osamu Saka', 'Akio Ôtsuka']",,,,,23 Nov 2012,['Japan'],,[],1 nomination total,"['Animation', 'Action', 'Adventure']","['Japanese', 'English', 'Russian']"
https://www.imdb.com/title/tt41087656/,"['Jacob Cooney', 'Jason White']",['Marcel Walz'],"['Rachel Emma Goodwin', 'Brian Lemmons', 'Tony Bottorff']",,,,,16 May 2026,['United States'],,[],N/A,"['Action', 'Adventure', 'Horror']",[]
https://www.imdb.com/title/tt13055982/,"['Adam Taylor Barker', 'Chris Sivertson']",['Randall Emmett'],"['Jack Huston', 'Robert De Niro', 'John Malkovich']",,,,,06 Dec 2022,['United States'],,[],N/A,"['Action', 'Thriller']",['English']
https://www.imdb.com/title/tt7236034/,"['Yoru Sumino', ""Shin'ichirô Ushijima""]","[""Shin'ichirô Ushijima""]","['Mahiro Takasugi', 'Lynn', 'Yukiyo Fujii']",,,,,01 Sep 2018,['Japan'],,[],2 wins & 2 nominations total,"['Animation', 'Drama', 'Family']","['Japanese', 'English', 'Italian', 'German', 'Spanish', 'French']"
https://www.imdb.com/title/tt1114699/,['John Leonetti'],[],[],,,,,21 Nov 2006,['USA'],,[],N/A,['Short'],['English']
https://www.imdb.com/title/tt5293862/,[],[],"['Mark Casey', 'Ang Lee', 'Tim Squyres']",,,,,23 Oct 2003,['USA'],,[],N/A,['Short'],['English']
https://www.imdb.com/title/tt0018187/,"['Julien Duvivier', 'Alfred Machard']",['Julien Duvivier'],"['Tramel', 'Régine Bouet', 'Gaston Jacquet']",,,,,06 Jan 1928,['France'],,[],N/A,['Drama'],"['None', 'French']"
https://www.imdb.com/title/tt0162109/,['Jim English'],[],"['Julie Strain', 'Alexandra Silk', 'Asher Pryce']",,,,,07 Aug 1998,['United States'],,[],N/A,['Talk-Show'],['English']
https://www.imdb.com/title/tt5293836/,[],[],"['Eric Bana', 'Colin Brady', 'Jennifer Connelly', 'Danny Elfman']",,,,,23 Oct 2003,['USA'],,[],N/A,"['Documentary', 'Short']",['English']
https://www.imdb.com/title/tt5293496/,[],[],"['Avi Arad', 'Gale Anne Hurd', 'Ang Lee', 'Stan Lee']",,,,,23 Oct 2003,['USA'],,[],N/A,['Short'],['English']
https://www.imdb.com/title/tt0395653/,[],[],"['Eric Bana', 'Colin Brady', 'Jennifer Connelly', 'Charles Croughwell']",,,,,N/A,['USA'],,[],N/A,"['Documentary', 'Short']",['English']
https://www.imdb.com/title/tt1718130/,"['Ethan Corn', 'Zac Geoffray']",['Ethan Corn'],"['Zac Geoffray', 'Remy Nozik', 'Dylan Braun']",,,,,30 May 2010,['United States'],,[],N/A,"['Comedy', 'Musical']",['Latin']
https://www.imdb.com/title/tt7055642/,[],['Modesto Arocha'],"['Modesto Arocha', 'Patricia Echeverri', 'Daniel Mart']",,,,,14 Feb 2009,['United States'],,[],N/A,"['Documentary', 'Short']",['Spanish']
https://www.imdb.com/title/tt1702455/,['Sharon Greytak'],['Sharon Greytak'],"['Sally Kirkland', 'Victoria Clark', 'James Murtaugh']",,,,,12 Sep 2014,['United States'],,[],1 win,['Drama'],['English']
https://www.imdb.com/title/tt0043472/,['Felix Adler'],['Jules White'],"['Moe Howard', 'Larry Fine', 'Shemp Howard']",,,,,03 May 1951,['United States'],,[],N/A,"['Comedy', 'Short']",['English']
https://www.imdb.com/title/tt7489304/,['Will Romines'],['Will Romines'],[],,,,,01 Apr 2018,['Canada'],,[],N/A,['Short'],['English']
https://www.imdb.com/title/tt0073629/,"[""Richard O'Brien"", 'Jim Sharman']",['Jim Sharman'],"['Tim Curry', 'Susan Sarandon', 'Barry Bostwick']",,,,,29 Sep 1975,"['United Kingdom', 'United States']",,[],4 wins & 4 nominations total,"['Comedy', 'Horror', 'Musical']",['English']
https://www.imdb.com/title/tt4146420/,['Meg Scott Cain'],['Meg Scott Cain'],"['Kelley Garnier', 'James McGettrick', 'Destiny Thompson']",,,,,N/A,['USA'],,[],N/A,"['Short', 'Comedy', 'Romance']",['English']
https://www.imdb.com/title/tt0472095/,"['Warren Ellis', 'John Rogers']",['Nelson McCormick'],"['Michelle Forbes', 'Aimee Garcia', 'Josh Hopkins']",,,,,N/A,['United States'],,[],N/A,"['Action', 'Mystery', 'Sci-Fi']",['English']
https://www.imdb.com/title/tt0325980/,"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']",['Gore Verbinski'],"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']",,,,,09 Jul 2003,['United States'],,[],Nominated for 5 Oscars. 38 wins & 104 nominations total,"['Action', 'Adventure', 'Fantasy']",['English']
