stt,Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1,"I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too",2023,,TV-14,6.5,4K,,"A boy who's been brutally bullied all his life discovers a door to another world, which grants him access to cheat skills and opportunities to live a better life.",https://www.imdb.com/title/tt27417996/
2,Jogo de Corpo. Capoeira e Ancestralidade,2013,1h 27m,N/A,N/A,8,,"BODY GAMES presents a sensual tapestry of combat games from both sides of the Atlantic. It tells a story driven by Mestre Cobra Mansa's need to understand the ancestry of his art form, Capoeira, as part of a wider concern with his Afro-Brazilian heritage. The search starts in Rio, as a 12 year old street child, Cobra found survival and self esteem playing Capoeira. Through Capoeira he grew into Brazil's black movement and discovered his identity as an Afro-Brazilian. A powerful Brazilian myth links Capoeira to a legendary Angolan game called Engolo. Through an exchange of Capoeira and Engolo in the dusty villages of Southern Angola, Cobra begins to understand the affinities and differences between combat games played on both sides of the Atlantic.",https://www.imdb.com/title/tt3575844/
3,I Know What You Did Last Summer,2025,1h 51m,R,5.1,40K,42,A group of friends are terrorised by a mysterious killer who knows about a gruesome incident from their past.,https://www.imdb.com/title/tt4045450/
4,Children of Destiny,1974,,N/A,N/A,,,"An historical series of six parts for children, in which Magnus Magnusson looks at the early lives of such figures as Mary, Queen of Scots to the Dalai Lama, as well as those children ...",https://www.imdb.com/title/tt13064520/
5,Elbowroom,2010,,N/A,6.6,31,,Stories takes place in disable people. The story starts when one of the disable persons starts an affair. She end up pregnant as a result of the affair. It portrays how the disable girl cope with the pregnancy and the preparation for the new baby on board.,https://www.imdb.com/title/tt1728197/
6,The Marvellous World of Roald Dahl,2016,59m,N/A,7.6,57,,"Fighter pilot, inventor, spy - the life of Roald Dahl is often stranger than fiction. From crashing his plane over Africa to hobnobbing in Hollywood and his remarkable encounters with everyone from Walt Disney to President Roosevelt - this is the story of his greatest adventures and how his real-life escapades find expression in his most famous books, from Charlie and the Chocolate Factory to Matilda. Through a vast collection of his letters, writings and archive, the story is told largely in his own words with contributions from his last wife Liccy, daughter Lucy and biographer Donald Sturrock. Long-term collaborator and illustrator Quentin Blake also creates exclusive new drawings for the film which are specially animated to bring Dahl's marvellous world to life.",https://www.imdb.com/title/tt5907158/
7,In the Blink of an Eye,2026,1h 34m,PG-13,5.6,346,37,"Three storylines, spanning thousands of years, intersect and reflect on hope, connection and the circle of life.",https://www.imdb.com/title/tt6341826/
8,Ghost in the Shell: Stand Alone Complex - Solid State Society,2006,1h 48m,Not Rated,7.8,8K,,"A.D. 2034. It has been two years since Motoko Kusanagi left Section 9. Togusa is now the new leader of the team, that has considerably increased its appointed personnel. The expanded new Section 9 confronts a rash of complicated incidents, and investigations reveal that an ultra-wizard hacker nicknamed the ""Puppet Master"" is behind the entire series of events.",https://www.imdb.com/title/tt0856797/
9,Shark Thrash,2026,,N/A,N/A,,,"A small and touristy beachside town is hit by a storm the size of which nobody could have predicted. A family who just arrived tries to escape, but gets stuck in the quickly rising waters. They try to figure a way out with the help of some locals, but any progress is shut down when the sharks make their way onto the flooded streets. The family and locals must now find a way to survive as the waters rise.",https://www.imdb.com/title/tt41087656/
10,Savage Salvation,2022,1h 41m,R,4.8,4K,,A recovering opioid addict seeks revenge on the dealers responsible for selling the drugs that resulted in his fiancee's death.,https://www.imdb.com/title/tt13055982/
11,I Want to Eat Your Pancreas,2018,1h 49m,Not Rated,8.1,35K,,"One day, ""Me"" - a highschooler - found a paperback in the hospital. The ""Disease Coexistence Journal"" was its title. It was a diary that ""Me""'s classmate, Sakura Yamauchi, had written in secret. Inside, it was written that due to her pancreatic disease, her days were numbered. And thus, ""Me"" coincidentally went from Just-a-Classmate to a Secret-Knowing-Classmate. It was as if he were being drawn to her, who was his polar opposite. However, the world presented the girl that was already suffering from an illness with an equally cruel reality.",https://www.imdb.com/title/tt7236034/
12,Tour of Duty: Making the Extended Cut,2006,,Unrated,N/A,,,"Two years after the release of the ""The Punisher"" (2004), writer/director Jonathan Hensleigh re-teamed with stars Thomas Jane and Russell Andrews to create a new opening sequence for the film's extended cut. This featurette offers an inside look at the making of that animated sequence.",https://www.imdb.com/title/tt1114699/
13,The Unique Style of Editing 'Hulk',2003,10m,N/A,N/A,,,"Takes a closer look at the editing process to make Hulk as cohesive, well-paced, and exciting as possible, while creating for the film a unique look with differing transitions and split screens.",https://www.imdb.com/title/tt5293862/
14,The Mystery of the Eiffel Tower,1928,2h 9m,N/A,6.9,153,,"One of two circus twins is cheated of an inheritance by his double, who sets himself up in a chateau.Only to be threatened by a sinister black hooded sect. Rollicking adventures follow, culminating with a big chase on the Eiffel Tower.",https://www.imdb.com/title/tt0018187/
15,Sex Court,1998–,30m,TV-MA,6.9,77,,"What do you get when you put arrestingly beautiful defendants and passionate plaintiffs into an already steamy courtroom? You get juicy judgments acted out in front of a jealous jury. In this hit Playboy TV series, a tall, dark and sexy Julie Strain presides over a court docket brimming with erotic crimes and misdemeanors. When couples air their sexual grievances in front of Judge Julie, they must suffer whatever sentences she sees fit to render. No appeals - Julie's word is law. Savor what happens when the verdict is guilty, and check out the justice Julie serves up. In her court, the only crime is unsatisfying sex, and the only sentence is ecstasy, with a pound of provocative punishment thrown in for flavor. Justice has never been so sexy. Features Julie Strain and adult star Alexandra Silk.",https://www.imdb.com/title/tt0162109/
16,The Incredible Ang Lee,2003,14m,N/A,5.2,5,,"A look at the director Ang Lee. It examines the contributions of the director not only behind the camera, but his work in numerous other aspects of the filmmaking process to make Hulk as successful as can be.",https://www.imdb.com/title/tt5293836/
17,Evolution of the 'Hulk',2003,16m,N/A,N/A,,,"A look at the history of this popular character. The piece begins by examining the character's origin in depression-era America, glossing over the history of Marvel comics, and further examining the development of the character in the comics, the animated series, the CBS television series, ""The Incredible Hulk,"" which featured famed bodybuilder Lou Ferrigno as the Hulk and Bill Bixby as Bruce Banner, and finally, this 2003 film adaptation.",https://www.imdb.com/title/tt5293496/
18,The Making of 'Hulk',2003,24m,N/A,5.0,80,,N/A,https://www.imdb.com/title/tt0395653/
19,Barnabus & Bella,2010,55m,N/A,7.0,21,,"An original Latin-language musical comedy about high school life and love. Having just moved to a new town, geeky Barnabus faces his first day at a new high school, and it won't be one he'll soon forget. He meets a popular girl, Bella, befriends the wheelchair-bound Rinaldus, gets bullied by jock Jacobus, and botches his track tryout. How will he deal with his new challenges? This charming tale of love and laughter emphasizes the importance of self-esteem and self-confidence in the face of adversity.",https://www.imdb.com/title/tt1718130/
20,Entrevista a Patricia Echeverri sobre su libro Entre Sombras Y Colores,2009,8m,N/A,N/A,,,N/A,https://www.imdb.com/title/tt7055642/
